typeId,typeName,date,level
2,Nitric Oxide,2016-09-10,4
2,Nitric Oxide,2016-09-11,8
2,Nitric Oxide,2016-09-12,3
2,Nitric Oxide,2016-09-13,10
2,Nitric Oxide,2016-09-14,3
2,Nitric Oxide,2016-09-15,12
2,Nitric Oxide,2016-09-16,3
2,Nitric Oxide,2016-09-17,5
2,Nitric Oxide,2016-09-18,4
2,Nitric Oxide,2016-09-19,4
2,Nitric Oxide,2016-09-20,8
2,Nitric Oxide,2016-09-21,10
2,Nitric Oxide,2016-09-22,5
2,Nitric Oxide,2016-09-23,12
2,Nitric Oxide,2016-09-24,2
2,Nitric Oxide,2016-09-25,1
2,Nitric Oxide,2016-09-26,4
2,Nitric Oxide,2016-09-27,4
2,Nitric Oxide,2016-09-28,3
2,Nitric Oxide,2016-09-29,3
2,Nitric Oxide,2016-09-30,5
2,Nitric Oxide,2016-10-01,2
2,Nitric Oxide,2016-10-02,11
2,Nitric Oxide,2016-10-03,10
2,Nitric Oxide,2016-10-04,5
2,Nitric Oxide,2016-10-05,3
2,Nitric Oxide,2016-10-06,5
2,Nitric Oxide,2016-10-07,6
2,Nitric Oxide,2016-10-08,4
2,Nitric Oxide,2016-10-09,3
2,Nitric Oxide,2016-10-10,13
2,Nitric Oxide,2016-10-11,7
2,Nitric Oxide,2016-10-12,4
2,Nitric Oxide,2016-10-13,7
2,Nitric Oxide,2016-10-14,12
2,Nitric Oxide,2016-10-15,4
2,Nitric Oxide,2016-10-16,1
2,Nitric Oxide,2016-10-17,2
2,Nitric Oxide,2016-10-18,3
2,Nitric Oxide,2016-10-19,7
2,Nitric Oxide,2016-10-20,17
2,Nitric Oxide,2016-10-21,37
2,Nitric Oxide,2016-10-22,21
2,Nitric Oxide,2016-10-23,2
2,Nitric Oxide,2016-10-24,8
2,Nitric Oxide,2016-10-25,26
2,Nitric Oxide,2016-10-26,9
2,Nitric Oxide,2016-10-27,11
2,Nitric Oxide,2016-10-28,3
2,Nitric Oxide,2016-10-29,5
2,Nitric Oxide,2016-10-30,4
2,Nitric Oxide,2016-10-31,46
2,Nitric Oxide,2016-11-01,16
2,Nitric Oxide,2016-11-02,33
2,Nitric Oxide,2016-11-03,37
2,Nitric Oxide,2016-11-04,18
2,Nitric Oxide,2016-11-05,11
2,Nitric Oxide,2016-11-06,5
2,Nitric Oxide,2016-11-07,8
2,Nitric Oxide,2016-11-08,18
2,Nitric Oxide,2016-11-09,4
2,Nitric Oxide,2016-11-10,5
2,Nitric Oxide,2016-11-11,23
2,Nitric Oxide,2016-11-12,5
2,Nitric Oxide,2016-11-13,7
2,Nitric Oxide,2016-11-14,4
2,Nitric Oxide,2016-11-15,4
2,Nitric Oxide,2016-11-16,4
2,Nitric Oxide,2016-11-17,7
2,Nitric Oxide,2016-11-18,31
2,Nitric Oxide,2016-11-19,28
2,Nitric Oxide,2016-11-20,2
2,Nitric Oxide,2016-11-21,7
2,Nitric Oxide,2016-11-22,0
2,Nitric Oxide,2016-11-23,0
2,Nitric Oxide,2016-11-24,0
2,Nitric Oxide,2016-11-25,4
