typeId,typeName,date,percent
2,Nitric Oxide,2016-01-31,-87.01
2,Nitric Oxide,2016-02-01,-74.03
2,Nitric Oxide,2016-02-02,-61.04
2,Nitric Oxide,2016-02-03,0.00
2,Nitric Oxide,2016-02-04,0.00
2,Nitric Oxide,2016-02-05,-74.03
2,Nitric Oxide,2016-02-06,-87.01
2,Nitric Oxide,2016-02-07,-74.03
2,Nitric Oxide,2016-02-08,-74.03
2,Nitric Oxide,2016-02-09,16.88
2,Nitric Oxide,2016-02-10,29.87
2,Nitric Oxide,2016-02-11,276.62
2,Nitric Oxide,2016-02-12,-22.08
2,Nitric Oxide,2016-02-13,-48.05
2,Nitric Oxide,2016-02-14,-74.03
2,Nitric Oxide,2016-02-15,42.86
2,Nitric Oxide,2016-02-16,224.68
2,Nitric Oxide,2016-02-17,-61.04
2,Nitric Oxide,2016-02-18,159.74
2,Nitric Oxide,2016-02-19,29.87
2,Nitric Oxide,2016-02-20,-87.01
2,Nitric Oxide,2016-02-21,-87.01
2,Nitric Oxide,2016-02-22,-48.05
2,Nitric Oxide,2016-02-23,42.86
2,Nitric Oxide,2016-02-24,16.88
2,Nitric Oxide,2016-02-25,107.79
2,Nitric Oxide,2016-02-26,81.82
2,Nitric Oxide,2016-02-27,-61.04
2,Nitric Oxide,2016-02-28,-74.03
2,Nitric Oxide,2016-02-29,3.90
2,Nitric Oxide,2016-03-01,-74.03
2,Nitric Oxide,2016-03-02,-74.03
2,Nitric Oxide,2016-03-03,-74.03
2,Nitric Oxide,2016-03-04,-35.06
2,Nitric Oxide,2016-03-05,-74.03
2,Nitric Oxide,2016-03-06,-74.03
2,Nitric Oxide,2016-03-07,3.90
2,Nitric Oxide,2016-03-08,107.79
2,Nitric Oxide,2016-03-09,-61.04
2,Nitric Oxide,2016-03-10,42.86
2,Nitric Oxide,2016-03-11,484.42
2,Nitric Oxide,2016-03-12,198.70
2,Nitric Oxide,2016-03-13,-61.04
2,Nitric Oxide,2016-03-14,-61.04
2,Nitric Oxide,2016-03-15,-35.06
2,Nitric Oxide,2016-03-16,-61.04
2,Nitric Oxide,2016-03-17,-48.05
2,Nitric Oxide,2016-03-18,120.78
2,Nitric Oxide,2016-03-19,-74.03
2,Nitric Oxide,2016-03-20,-61.04
2,Nitric Oxide,2016-03-21,16.88
2,Nitric Oxide,2016-03-22,-22.08
2,Nitric Oxide,2016-03-23,16.88
2,Nitric Oxide,2016-03-24,-35.06
2,Nitric Oxide,2016-03-25,-74.03
2,Nitric Oxide,2016-03-26,-87.01
2,Nitric Oxide,2016-03-27,-87.01
2,Nitric Oxide,2016-03-28,-87.01
2,Nitric Oxide,2016-03-29,-74.03
2,Nitric Oxide,2016-03-30,-48.05
2,Nitric Oxide,2016-03-31,3.90
2,Nitric Oxide,2016-04-01,-22.08
2,Nitric Oxide,2016-04-02,-87.01
2,Nitric Oxide,2016-04-03,-87.01
2,Nitric Oxide,2016-04-04,-61.04
2,Nitric Oxide,2016-04-05,-35.06
2,Nitric Oxide,2016-04-06,-74.03
2,Nitric Oxide,2016-04-07,-74.03
2,Nitric Oxide,2016-04-08,-61.04
2,Nitric Oxide,2016-04-09,-48.05
2,Nitric Oxide,2016-04-10,-87.01
2,Nitric Oxide,2016-04-11,42.86
2,Nitric Oxide,2016-04-12,42.86
2,Nitric Oxide,2016-04-13,107.79
2,Nitric Oxide,2016-04-14,-61.04
2,Nitric Oxide,2016-04-15,-61.04
2,Nitric Oxide,2016-04-16,-74.03
2,Nitric Oxide,2016-04-17,-74.03
2,Nitric Oxide,2016-04-18,29.87
2,Nitric Oxide,2016-04-19,-61.04
2,Nitric Oxide,2016-04-20,-48.05
2,Nitric Oxide,2016-04-21,-48.05
2,Nitric Oxide,2016-04-22,-61.04
2,Nitric Oxide,2016-04-23,-74.03
2,Nitric Oxide,2016-04-24,-87.01
2,Nitric Oxide,2016-04-25,-74.03
2,Nitric Oxide,2016-04-26,-61.04
2,Nitric Oxide,2016-04-27,-48.05
2,Nitric Oxide,2016-04-28,-9.09
2,Nitric Oxide,2016-04-29,-61.04
2,Nitric Oxide,2016-04-30,-87.01
2,Nitric Oxide,2016-05-01,-22.08
2,Nitric Oxide,2016-05-02,-74.03
2,Nitric Oxide,2016-05-03,-61.04
2,Nitric Oxide,2016-05-04,68.83
2,Nitric Oxide,2016-05-05,-35.06
2,Nitric Oxide,2016-05-06,-48.05
2,Nitric Oxide,2016-05-07,-74.03
2,Nitric Oxide,2016-05-08,-87.01
2,Nitric Oxide,2016-05-09,-74.03
2,Nitric Oxide,2016-05-10,-22.08
2,Nitric Oxide,2016-05-11,-35.06
2,Nitric Oxide,2016-05-12,-74.03
2,Nitric Oxide,2016-05-13,-74.03
2,Nitric Oxide,2016-05-14,-87.01
2,Nitric Oxide,2016-05-15,-74.03
